,user_id,product_id,score
0,US041020210001,PD041020210001,4.0
1,US071020210001,PD041020210001,2.5
2,US281020210001,PD041020210001,1.0
3,US281020210042,PD041020210001,1.5
4,US281020210048,PD041020210001,1.5
5,US281020210053,PD041020210001,2.0
6,US281020210069,PD041020210001,5.0
7,US281020210070,PD041020210001,5.0
8,US041020210001,PD041020210002,2.5
9,US191020210007,PD041020210002,2.5
10,US191020210010,PD041020210002,2.5
11,US271020210021,PD041020210002,4.0
12,US271020210032,PD041020210002,3.0
13,US281020210042,PD041020210002,1.0
14,US281020210048,PD041020210002,1.0
15,US281020210050,PD041020210002,2.5
16,US281020210054,PD041020210002,2.0
17,US281020210055,PD041020210002,2.5
18,US281020210057,PD041020210002,3.0
19,US281020210058,PD041020210002,3.0
20,US281020210060,PD041020210002,4.0
21,US281020210062,PD041020210002,4.0
22,US281020210063,PD041020210002,4.5
23,US281020210065,PD041020210002,4.5
24,US041020210001,PD041020210003,4.0
25,US191020210003,PD041020210003,3.0
26,US191020210008,PD041020210003,3.5
27,US271020210023,PD041020210003,2.0
28,US271020210035,PD041020210003,3.5
29,US281020210045,PD041020210003,1.5
30,US281020210053,PD041020210003,2.5
31,US281020210060,PD041020210003,4.5
32,US281020210063,PD041020210003,4.0
33,US281020210069,PD041020210003,5.0
34,US281020210071,PD041020210003,5.0
35,US191020210002,PD041020210004,2.5
36,US191020210006,PD041020210004,4.0
37,US191020210009,PD041020210004,1.5
38,US271020210022,PD041020210004,3.0
39,US271020210037,PD041020210004,3.5
40,US281020210047,PD041020210004,1.0
41,US281020210050,PD041020210004,2.0
42,US281020210055,PD041020210004,2.0
43,US281020210058,PD041020210004,3.0
44,US281020210061,PD041020210004,4.5
45,US281020210063,PD041020210004,4.5
46,US281020210065,PD041020210004,4.5
47,US061020210001,PD041020210005,4.0
48,US191020210001,PD041020210005,3.0
49,US191020210006,PD041020210005,3.5
50,US191020210009,PD041020210005,5.0
51,US271020210023,PD041020210005,4.0
52,US271020210033,PD041020210005,3.5
53,US281020210044,PD041020210005,1.0
54,US281020210045,PD041020210005,1.0
